type,niveau,categorie,secteur,label,parent,value_mmdh,is_total,year,source
depense,2,fonctionnement,Souveraineté,MINISTERE DE LA JUSTICE,fonctionnement,4.4974,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,MINISTERE DE LA JUSTICE,investissement,0.4525,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Social,MINISTERE DE LA SANTE ET DE LA PROTECTION SOCIALE,fonctionnement,27.8589,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Social,MINISTERE DE LA SANTE ET DE LA PROTECTION SOCIALE,investissement,27.1838,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Social,"MINISTERE DE LA SOLIDARITÉ, DE L'INSERTION SOCIALE ET DE LA FAMILLE",fonctionnement,0.8379,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Social,"MINISTERE DE LA SOLIDARITÉ, DE L'INSERTION SOCIALE ET DE LA FAMILLE",investissement,0.3958,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Infra,MINISTERE DE LA TRANSITION ENERGETIQUE ET DU DEVELOPPEMENT DURABLE,fonctionnement,0.6176,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Infra,MINISTERE DE LA TRANSITION ENERGETIQUE ET DU DEVELOPPEMENT DURABLE,investissement,0.2173,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Économique,"MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE L'INVESTISSEMENT, DE LA CONVERGENCE ET DE L'EVALUATION DES POLITIQUES PUBLIQUES",fonctionnement,0.3941,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Économique,"MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE L'INVESTISSEMENT, DE LA CONVERGENCE ET DE L'EVALUATION DES POLITIQUES PUBLIQUES",investissement,3.454,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Infra,MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE LA TRANSITION NUMERIQUE ET DE LA REFORME DE L'ADMINISRATION,fonctionnement,0.2512,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Infra,MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE LA TRANSITION NUMERIQUE ET DE LA REFORME DE L'ADMINISRATION,investissement,1.5792,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DES RELATIONS AVEC LE PARLEMENT,fonctionnement,0.0946,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Souveraineté,MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DES RELATIONS AVEC LE PARLEMENT,investissement,0.0333,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Souveraineté,"MINISTERE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT A L'ETRANGER",fonctionnement,4.6648,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,"MINISTERE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT A L'ETRANGER",investissement,0.48,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Souveraineté,MINISTERE DES HABOUS ET DES AFFAIRES ISLAMIQUES,fonctionnement,6.2719,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,MINISTERE DES HABOUS ET DES AFFAIRES ISLAMIQUES,investissement,1.9302,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Économique,"MINISTERE DU TOURISME, DE L'ARTISANAT ET DE L'ECONOMIE SOCIALE ET SOLIDAIRE",fonctionnement,0.6195,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Économique,"MINISTERE DU TOURISME, DE L'ARTISANAT ET DE L'ECONOMIE SOCIALE ET SOLIDAIRE",investissement,2.0623,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Infra,MINISTERE DU TRANSPORT ET DE LA LOGISTIQUE,fonctionnement,0.3502,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Infra,MINISTERE DU TRANSPORT ET DE LA LOGISTIQUE,investissement,1.7831,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Souveraineté,SA MAJESTE LE ROI,fonctionnement,0.5435,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Autre,SECRETARIAT GENERAL DU GOUVERNEMENT,fonctionnement,0.1604,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Autre,SECRETARIAT GENERAL DU GOUVERNEMENT,investissement,0.015,False,2026,Note-presentation_Fr p.163
depense,2,dette,Souveraineté,Dette Extérieure,dette,19.516,False,2025,SLF-23 Fr-2025 p.22
depense,2,dette,Souveraineté,Dette Intérieure,dette,87.7386,False,2025,SLF-23 Fr-2025 p.22
